"sequence_number","delta","gyro_x","gyro_y","gyro_z","accel_x","accel_y","accel_z","control_x","control_speed"
"112","0.102464","0.00439453","0.00195312","-0.0664062","0.00598145","0.0717773","-0.970642","0.964844","1"
"113","0.089983","0.00500488","0.00219727","-0.0692749","-0.00854492","0.115356","-0.944458","0.744141","1"
"114","0.074947","0.00439453","-0.00012207","-0.0705566","-0.00341797","0.117493","-0.914856","0.519531","1"
"115","0.098808","0.000427246","0.000488281","-0.0687256","-0.0236206","0.102356","-0.962891","0.5","1"
"116","0.074971","0","0.000732422","-0.0668335","-0.0219727","0.129822","-0.982971","0.5","1"
"117","0.075268","-6.10352e-05","0.000366211","-0.0617065","-0.0292969","0.112183","-1.00116","0.5","1"
"118","0.074756","-0.00262451","0.00158691","-0.0569458","-0.0325317","0.0916748","-1.01306","0.496094","1"
"119","0.082579","-0.00286865","0.00244141","-0.0548706","-0.0158691","0.0559082","-1.02148","0.494141","1"
"120","0.081218","-0.00292969","0.00244141","-0.0531006","0.019104","0.0334473","-1.00446","0.492188","1"
"121","0.083809","-0.00195312","0.00140381","-0.0537109","0.0360107","-0.0175781","-1.0036","0.482422","1"
"122","0.125069","-0.000427246","0.00390625","-0.0546875","0.0303345","-0.0020752","-0.9646","0.443359","1"
"123","0.106171","0.00128174","0.00384521","-0.0559082","0.0733643","-0.0055542","-1.01508","0.433594","1"
"124","0.07612","0.000915527","0.00250244","-0.0563965","0.0646973","-0.0253906","-0.991516","0.431641","1"
"125","0.073864","0.00366211","0.00189209","-0.0548096","0.0974121","0.00360107","-1.06549","0.431641","1"
"126","0.082193","0.00140381","0.00170898","-0.0533447","0.0269165","0.0409546","-1.02454","0.435547","1"
"127","0.088965","0","-0.000671387","-0.0534668","0.0198975","0.0111694","-1.03107","0.439453","1"
"128","0.070254","-0.00109863","-0.00366211","-0.0501709","-0.0214233","0.0227051","-0.969727","0.439453","1"
"129","0.081001","6.10352e-05","-0.00341797","-0.046875","-0.000427246","0.0622559","-1.01648","0.439453","1"
"130","0.103702","-0.00195312","-0.00286865","-0.0463257","-0.0132446","0.0530396","-0.934387","0.439453","1"
"131","0.091304","-0.00140381","0","-0.043335","0.0418091","-0.00238037","-0.994263","0.433594","1"
"132","0.09727","-0.000610352","-0.00115967","-0.0386353","0.076355","0.00372314","-1.04724","0","1"
"133","0.085136","0.0012207","0.000671387","-0.0320435","0.0408325","-0.043335","-1.01794","0","1"
"134","0.086092","-6.10352e-05","0.00396729","-0.0246582","0.0447998","-0.00457764","-1.09094","0","1"
"135","0.09268","-0.000976562","0.00201416","-0.0186768","0.0148926","0.00891113","-1.07855","-0.0742188","1"
"136","0.081372","0.000427246","-0.0010376","-0.0111084","-0.0307617","0.000976562","-1.05322","-0.314453","1"
"137","0.097716","-0.00012207","0.000244141","0.00158691","-0.0713501","0.019104","-0.97876","-0.541016","1"
"138","0.097302","-0.000732422","0.000732422","0.00933838","-0.0105591","-0.00964355","-0.975647","-0.998047","1"
"139","0.073745","0.00152588","-0.000183105","0.0231934","-0.0323486","-0.0794678","-0.902161","-0.998047","1"
"140","0.091216","0.0020752","0.00152588","0.0374756","-0.00537109","-0.102234","-0.927551","-0.998047","1"
"141","0.076019","0","0.00244141","0.050293","0.019043","-0.0986328","-0.932556","-0.998047","1"
"142","0.119019","0.00140381","0.00213623","0.0596313","0.045105","-0.108826","-0.948486","-0.998047","1"
"143","0.11268","0.000854492","0.000366211","0.0665283","0.0254517","-0.120361","-0.977539","-0.998047","1"
"144","0.074549","-0.000976562","-0.000732422","0.0685425","0.00195312","-0.101318","-0.941528","-0.998047","1"
"145","0.075236","0.000610352","-0.00140381","0.0705566","-0.00695801","-0.107117","-0.947693","-0.998047","1"
"146","0.07474","0.000732422","-0.00378418","0.0701904","0.0125122","-0.0632324","-0.981934","-0.998047","1"
"147","0.08286","-0.00109863","-0.00506592","0.0684814","-0.00671387","-0.0680542","-1.02167","-0.998047","1"
"148","0.103673","-0.00140381","-0.00549316","0.0683594","0.0136719","-0.0479736","-1.01715","-0.998047","1"
"149","0.071114","-0.00177002","-0.00537109","0.0673828","0.00640869","-0.0513916","-1.02039","-0.998047","1"
"150","0.072538","-0.00268555","-0.00488281","0.0664673","-0.00286865","-0.0823975","-1.01288","-0.998047","1"
